Clave,Municipio,Valor
06001,Armería,3095
06002,Colima,14154
06003,Comala,2099
06004,Coquimatlán,2100
06005,Cuauhtémoc,2980
06006,Ixtlahuacán,576
06007,Manzanillo,19052
06008,Minatitlán,1161
06009,Tecomán,13436
06010,Villa de Álvarez,14291
