Clave,Municipio,Valor
06001,Armería,4178
06002,Colima,19985
06003,Comala,2946
06004,Coquimatlán,3062
06005,Cuauhtémoc,4217
06006,Ixtlahuacán,712
06007,Manzanillo,27368
06008,Minatitlán,1637
06009,Tecomán,18503
06010,Villa de Álvarez,20210
