Clave,Municipio,Valor
6001,Armería,3078
6002,Colima,14232
6003,Comala,1525
6004,Coquimatlán,1891
6005,Cuauhtémoc,2912
6006,Ixtlahuacán,552
6007,Manzanillo,18970
6008,Minatitlán,1391
6009,Tecomán,11619
6010,Villa de Álvarez,14291
