dominio,indicador,descriptores,valores
Dominio Participación,Viviendas particulares habitadas que no disponen de televisor en el Estado de Colima,d5_i1_d,d5_i1_v
Dominio Participación ,Viviendas particulares ocupadas que no disponen de radio en el Estado de Colima,d5_i2_d,d5_i2_v
Dominio Participación ,Viviendas que no disponen de teléfono fijo en el Estado de Colima,d5_i3_d,d5_i3_v
Dominio Participación ,Viviendas particulares habitadas que no disponen de computadora en el Estado de Colima,d5_i4_d,d5_i4_v
Dominio Participación ,Viviendas particulares habitadas que no disponen de internet en el Estado de Colima,d5_i5_d,d5_i5_v
