Clave,Municipio,Valor
06001,Armería,9
06002,Colima,15
06003,Comala,9
06004,Coquimatlán,8
06005,Cuauhtémoc,9
06006,Ixtlahuacán,5
06007,Manzanillo,29
06008,Minatitlán,6
06009,Tecomán,18
06010,Villa de Álvarez,7
