Clave,Municipio,Valor
06001,Armería,28.6
06002,Colima,22.7
06003,Comala,Sin precisión estadística
06004,Coquimatlán,20.5
06005,Cuauhtémoc,36.8
06006,Ixtlahuacán,14.9
06007,Manzanillo,27.9
06008,Minatitlán,66.3
06009,Tecomán,26.5
06010,Villa de Álvarez,38.2
