Clave,Municipio,Valor
06001,Armería,205
06002,Colima,241
06003,Comala,400
06004,Coquimatlán,224
06005,Cuauhtémoc,203
06006,Ixtlahuacán,2 409
06007,Manzanillo,80
06008,Minatitlán,616
06009,Tecomán,797
06010,Villa de Álvarez,363
