Clave,Municipio,Valor
06001,Armería,2599
06002,Colima,11785
06003,Comala,1791
06004,Coquimatlán,1903
06005,Cuauhtémoc,2572
06006,Ixtlahuacán,444
06007,Manzanillo,17812
06008,Minatitlán,1105
06009,Tecomán,11466
06010,Villa de Álvarez,12606
