Clave,Municipio,Valor
06001,Armería,179
06002,Colima,1843
06003,Comala,275
06004,Coquimatlán,292
06005,Cuauhtémoc,288
06006,Ixtlahuacán,11
06007,Manzanillo,2322
06008,Minatitlán,76
06009,Tecomán,1541
06010,Villa de Álvarez,1905
