Clave,Municipio,Valor
06001,Armería,76
06002,Colima,178
06003,Comala,32
06004,Coquimatlán,58
06005,Cuauhtémoc,47
06006,Ixtlahuacán,11
06007,Manzanillo,244
06008,Minatitlán,21
06009,Tecomán,377
06010,Villa de Álvarez,109
