Clave,Municipio,Valor
6001,Armería,0
6002,Colima,57
6003,Comala,1
6004,Coquimatlán,0
6005,Cuauhtémoc,1
6006,Ixtlahuacán,0
6007,Manzanillo,32
6008,Minatitlán,1
6009,Tecomán,19
6010,Villa de Álvarez,0
