dominio,indicador,descriptores,valores
Dominio Educación ,Número de planteles educativos en el Estado de Colima,d6_i1_d,d6_i1_v
Dominio Educación ,Número de planteles educativos de nivel inicial en el Estado de Colima,d6_i2_d,d6_i2_v
Dominio Educación ,Número de planteles educativos de nivel preescolar en el Estado de Colima,d6_i3_d,d6_i3_v
Dominio Educación ,Número de planteles educativos de nivel primaria en el Estado de Colima,d6_i4_d,d6_i4_v
Dominio Educación ,Número de planteles educativos de nivel secundaria en el Estado de Colima,d6_i5_d,d6_i5_v
Dominio Educación ,Número de planteles educativos de nivel media superior en el Estado de Colima,d6_i6_d,d6_i6_v
Dominio Educación ,Número de planteles educativos de nivel superior en el Estado de Colima,d6_i7_d,d6_i7_v
Dominio Educación ,Número de personas con rezago educativo en el Estado de Colima,d6_i8_d,d6_i8_v
