Clave,Municipio,Valor
06001,Armería,11301
06002,Colima,14754
06003,Comala,23000
06004,Coquimatlán,14943
06005,Cuauhtémoc,10892
06006,Ixtlahuacán,126191
06007,Manzanillo,3529
06008,Minatitlán,24676
06009,Tecomán,36268
06010,Villa de Álvarez,20332
