dominio,indicador,descriptores,valores
Dominio Desarrollo,"Niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a los servicios básicos en la vivienda en el Estado de Colima",d3_i1_d,d3_i1_v
Dominio Desarrollo,"Niñas, niños y adolescentes que residen en viviendas sin luz en el Estado de Colima",d3_i2_d,d3_i2_v
Dominio Desarrollo,"Niñas, niños y adolescentes que residen en viviendas sin agua en el Estado de Colima",d3_i3_d,d3_i3_v
Dominio Desarrollo,"Niñas, niños y adolescentes que residen en viviendas sin drenaje en el Estado de Colima",d3_i4_d,d3_i4_v
Dominio Desarrollo,"Niñas, niños y adolescentes que no residen en viviendas con pisos de materiales resistentes en el Estado de Colima",d3_i5_d,d3_i5_v
Dominio Desarrollo,"Niñas, Niños y Adolescentes que no Asiste a la Escuela en el Estado de Colima",d3_i6_d,d3_i6_v
Dominio Desarrollo,Población de 3 a 5 años que no Asiste a la Escuela en el Estado de Colima,d3_i7_d,d3_i7_v
Dominio Desarrollo,Población de 6 a 14 años que no Asiste a la Escuela en el Estado de Colima,d3_i8_d,d3_i8_v
Dominio Desarrollo,Población de 15 a 17 que no Asiste a la Escuela en el Estado de Colima,d3_i9_d,d3_i9_v
Dominio Desarrollo,Población en pobreza extrema en el Estado de Colima,d3_i10_d,d3_i10_v
Dominio Desarrollo,"Porcentaje de niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a la alimentación en el Estado de Colima",d3_i11_d,d3_i11_v
Dominio Desarrollo,"Niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a la alimentación en el Estado de Colima",d3_i12_d,d3_i12_v
Dominio Desarrollo,"Niñas, niños y adolescentes de 0 a 17 años en situación de pobreza en el Estado de Colima",d3_i13_d,d3_i13_v
