Clave,Municipio,Valor
6001,Armería,5 493
6002,Colima,7 335
6003,Comala,11 224
6004,Coquimatlán,7 195
6005,Cuauhtémoc,5 274
6006,Ixtlahuacán,62 153
6007,Manzanillo,1 667
6008,Minatitlán,12 429
6009,Tecomán,17 832
6010,Villa de Álvarez,10 058
