clave,municipio,valor
06001,Armería,97
06002,Colima,62
06003,Comala,27
06004,Coquimatlán,61
06005,Cuauhtémoc,29
06006,Ixtlahuacán,679
06007,Manzanillo,7
06008,Minatitlán,592
06009,Tecomán,219
06010,Villa de Álvarez,142
