Clave,Municipio,Valor
06001,Armería,33.3
06002,Colima,50
06003,Comala,50
06004,Coquimatlán,50
06005,Cuauhtémoc,54
06006,Ixtlahuacán,56.4
06007,Manzanillo,57.1
06008,Minatitlán,60
06009,Tecomán,62.1
06010,Villa de Álvarez,64.5
