Clave,Municipio,Valor
06001,Armería,3731
06002,Colima,5227
06003,Comala,7816
06004,Coquimatlán,4510
06005,Cuauhtémoc,3982
06006,Ixtlahuacán,43882
06007,Manzanillo,1234
06008,Minatitlán,10248
06009,Tecomán,12670
06010,Villa de Álvarez,7026
