Clave,Municipio,Valor
06001,Armería,21
06002,Colima,116
06003,Comala,17
06004,Coquimatlán,20
06005,Cuauhtémoc,22
06006,Ixtlahuacán,11
06007,Manzanillo,127
06008,Minatitlán,16
06009,Tecomán,77
06010,Villa de Álvarez,59
,,
