Clave,Municipio,Valor
06001,Armería,381
06002,Colima,"1,931"
06003,Comala,526
06004,Coquimatlán,323
06005,Cuauhtémoc,418
06006,Ixtlahuacán,71
06007,Manzanillo,"2,611"
06008,Minatitlán,169
06009,Tecomán,"1,899"
06010,Villa de Álvarez,"1,527"
