Clave,Municipio,Valor
06001,Armería,397
06002,Colima,"1,185"
06003,Comala,291
06004,Coquimatlán,277
06005,Cuauhtémoc,336
06006,Ixtlahuacán,66
06007,Manzanillo,"1,534"
06008,Minatitlán,97
06009,Tecomán,"1,633"
06010,Villa de Álvarez,"1,085"
