Clave,Municipio,Valor
06001,Armería,26
06002,Colima,85
06003,Comala,15
06004,Coquimatlán,12
06005,Cuauhtémoc,9
06006,Ixtlahuacán,2
06007,Manzanillo,96
06008,Minatitlán,6
06009,Tecomán,160
06010,Villa de Álvarez,26
