Clave,Municipio,Valor
6001,Armería,0
6002,Colima,0
6003,Comala,0
6004,Coquimatlán,0
6005,Cuauhtémoc,1
6006,Ixtlahuacán,1
6007,Manzanillo,0
6008,Minatitlán,0
6009,Tecomán,0
6010,Villa de Álvarez,1
