Clave,Municipio,Valor
06001,Armería,1
06002,Colima,0
16003,Comala,1
06002,Coquimatlán,2
06003,Cuauhtémoc,0
16004,Ixtlahuacán,18
06003,Manzanillo,0
06004,Minatitlán,0
16005,Tecomán,3
06004,Villa de Álvarez,1
