Clave,Municipio,Valor
06001,Armería,1567
06002,Colima,2540
06003,Comala,3267
06004,Coquimatlán,1339
06005,Cuauhtémoc,1370
06006,Ixtlahuacán,22248
06007,Manzanillo,368
06008,Minatitlán,1424
06009,Tecomán,6917
06010,Villa de Álvarez,2086
