Clave,Municipio,Valor
06001,Armería,1
06002,Colima,0
16003,Comala,1
16004,Coquimatlán,0
16005,Cuauhtémoc,2
16006,Ixtlahuacán,4
16007,Manzanillo,0
16008,Minatitlán,0
16009,Tecomán,1
16010,Villa de Álvarez,1
