Clave,Municipio,Valor
06001,Armería,15
06002,Colima,17
06003,Comala,24
06004,Coquimatlán,16
06005,Cuauhtémoc,22
06006,Ixtlahuacán,185
06007,Manzanillo,2
06008,Minatitlán,47
06009,Tecomán,68
06010,Villa de Álvarez,20
